id,title,genres,averageRating,numVotes,releaseYear
tt0023042,I Am a Fugitive from a Chain Gang,"Crime, Drama, Film-Noir",8.2,14851,1932
tt1180583,Vaaranam Aayiram,"Action, Drama, Musical",8.2,14845,2008
tt9500372,Pocket Hercules: Naim Süleymanoglu,"Biography, Drama, History",8.2,14564,2019
tt3569782,Jigarthanda,"Comedy, Crime, Drama",8.2,14019,2014
tt0101985,A Brighter Summer Day,"Crime, Drama, Romance",8.2,13584,1991
tt9124428,Champion,"Biography, Drama, Romance",8.2,13539,2018
tt0056512,The Easy Life,"Comedy, Drama",8.2,13173,1962
tt0111341,Satantango,Drama,8.2,13050,1994
tt0052600,Ballad of a Soldier,"Drama, Romance, War",8.2,11646,1959
tt0058604,I Am Cuba,Drama,8.2,11215,1964
tt0076727,Office Romance,"Comedy, Drama, Romance",8.2,10793,1977
tt0075404,The Ascent,"Drama, War",8.2,10711,1977
tt3153634,Hope,Drama,8.2,10403,2013
tt0843326,Bommarillu,"Comedy, Drama, Romance",8.2,10352,2006
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",8.1,1245667,2003
tt0434409,V for Vendetta,"Action, Drama, Sci-Fi",8.1,1202707,2005
tt1392190,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",8.1,1145718,2015
tt0264464,Catch Me If You Can,"Biography, Crime, Drama",8.1,1139261,2002
tt2267998,Gone Girl,"Drama, Mystery, Thriller",8.1,1101545,2014
tt0198781,"Monsters, Inc.","Adventure, Animation, Comedy",8.1,1010670,2001
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",8.1,979240,2011
tt0088247,The Terminator,"Action, Adventure, Sci-Fi",8.1,950778,1984
tt2278388,The Grand Budapest Hotel,"Adventure, Comedy, Crime",8.1,911577,2014
tt0118715,The Big Lebowski,"Comedy, Crime",8.1,879679,1998
